序号,模块,定时任务名称,定时任务执行地址,参数,,,,,"定时频率
(cron表达式)",备注,是否已配置（此两列由定时配置人填写）,,负责人
,,,,updateDateStr,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
72,claim,总账延迟导入,/claim/task/importGLDelay,param,字符,否,是,报账单id集，以逗号隔开，无时设置为空,0 0/2 * * * ?,,,,凌启
73,claim,资产报废延迟导入,/claim/task/importGLOfScrapAssetDelayService,param,字符,否,是,报账单id集，以逗号隔开，无时设置为空,0 0/5 * * * ?,,,,凌启
74,claim,资产其他减少延迟导入,/claim/task/importAssetOtherReduceDelayService,param,字符,否,是,报账单id集，以逗号隔开，无时设置为空,0 0/5 * * * ?,,,,凌启
75,claim,对账单延迟导入,/claim/task/importApPoDelayService,param,字符,否,是,报账单id集，以逗号隔开，无时设置为空,0 0/2 * * * ?  ,,,,凌启
76,claim,手工发票延迟导入,/claim/task/importRaCertificateGlAutoDelayService,param,字符,否,是,报账单id集，以逗号隔开，无时设置为空,0 0/5 * * * ?,,,,凌启
77,claim,收款导入延迟导入,/claim/task/importArCertificateGlAutoDelayService,param,字符,否,是,报账单id集，以逗号隔开，无时设置为空,0 0/5 * * * ?,,,,凌启
78,claim,转款导入延迟导入,/claim/task/importArAmtRemainGlAutoDelayService,param,字符,否,是,报账单id集，以逗号隔开，无时设置为空,0 0/5 * * * ?,,,,凌启
79,claim,退款导入延迟导入,/claim/task/importReturnArAmtRemainGlAutoDelayService,param,字符,否,是,报账单id集，以逗号隔开，无时设置为空,0 0/5 * * * ?,,,,凌启
80,integration,财司同步账户信息,/integration/api/feign/integration/fundclient/task/v1/syncAccountInfo,,,,,,0 20 5 * * ?,,是,,余唯婷
81,claim,票易通识别定时,/claim/task/executeOcr,taskIds,字符,否,是,"重新查询的taskId,逗号分隔,允许为空",* 0/5 * * * ?,,是,,余唯婷
82,claim,T058定时任务（老代码T058Job）,/claim/task/t058Enable,,,否,是,定时检查t058数据生效,,,,,
83,pi,指标PerformanceReportByPassingRateMin,pi/schedule/updatePIDataMin,,,,,,,,,,封昊
84,pi,指标PiAllClaim4Screen,pi/schedule/allClaim4Screen,,,,,,,,,,封昊
85,pi,指标TPiRltIndex2,pi/schedule/getDataFor2,,,,,,,,,,封昊
86,pi,指标TPiRltIndex3,pi/schedule/getDataFor3,,,,,,,,,,封昊
87,pi,指标TPiRltIndex4,pi/schedule/getDataFor4,,,,,,,,,,封昊
88,pi,指标TPiRltIndex46,pi/schedule/findTPiRltIndex46,,,,,,,,,,封昊
89,pi,指标TPiRltIndex49,pi/schedule/findTPiRltIndex49,,,,,,,,,,封昊
90,pi,指标TPiRltIndex72,pi/schedule/executeGetDataFor72,,,,,,,,,,封昊
91,pi,指标TPiRltIndex73,pi/schedule/getDataFor73,,,,,,,,,,封昊
92,pi,指标TPiRltIndex74,pi/schedule/getDataFor74,,,,,,,,,,封昊
93,pi,指标TPiRltIndex76,pi/schedule/getDataFor76,,,,,,,,,,封昊
94,pi,指标TPiRltIndex77,pi/schedule/getDataFor77,,,,,,,,,,封昊
95,pi,指标TPiRltIndex79,pi/schedule/findTPiRltIndex79,,,,,,,,,,封昊
96,pi,指标TPiRltIndex81,pi/schedule/findTPiRltIndex81,,,,,,,,,,封昊
97,pi,指标TPiRltIndex82,pi/schedule/getDataFor82,,,,,,,,,,封昊
98,pi,指标TPiRltIndex96,pi/schedule/getDataFor96,,,,,,,,,,封昊
99,pi,日执行指标定时-autoEndClaim-办结汇总报表列表,pi/schedule/autoEndClaimByDay,,,,,,,,,,于泽桐
100,pi,月执行指标定时-autoEndClaim-办结汇总报表列表,pi/schedule/autoEndClaimByMonth,,,,,,,,,,于泽桐
101,pi,自动化全流程监控统计数量写入--automationProcessMonitorJob,pi/schedule/automationProcessMonitorJob,,,,,,,,,,于泽桐
102,pi,月执行指标定时-innerTurnBackReport,pi/schedule/innerTurnBackReport,,,,,,,,,,赵旭光
103,pi,月执行指标定时-ouDetailReportDataProcess,pi/schedule/ouDetailReportDataProcess,,,,,,,,,,赵旭光
104,pi,月执行指标定时-deptReportDataProcess,pi/schedule/deptReportDataProcess,,,,,,,,,,赵旭光
105,pi,月执行指标定时-businessTurnBackReport,pi/schedule/businessTurnBackReportByMonth,,,,,,,,,,赵旭光
106,pi,piSchedulerByMonth13,pi/schedule/piSchedulerByMonth13,,,,,,,,,,赵旭光
