定时配置,功能,入口,是否自动生成报账单,是否需要付款,类型,执行频率,执行频率,
updateVolumeJobDetail\#updateVolumeJobTrigger,更新寄交清单明细中册号服务,com.ibm.gbs.aam.controller.UpdateVolumeJob,否,否,报账功能,天,每天15点07分执行一次,
ccSendEmailJobDetail\#ccSendEmailJobTrigger,解答完成的工单记录发送邮件定时任务，已记录的发送邮件,com.ibm.gbs.efinance.business.eip.service.control.CcSendEmailJob,否,否,报账功能,多次,每10分钟执行一次,
tVoucherSpilitJobDetail\#tVoucherSpilitJobTrigger,凭证断号查询,com.ibm.gbs.efinance.business.eip.service.control.TVoucherSpilitJob,否,否,报账功能,天,每天0点30分执行一次,
tVoucherSpilit1JobDetail\#tVoucherSpilit1JobTrigger,凭证断号调用接口同步凭证头数据,com.ibm.gbs.efinance.business.eip.service.control.TVoucherSpilit1Job,否,否,数据同步,天,每天0点50分执行一次,
tVoucherSpilit2JobDetail\#tVoucherSpilit2JobTrigger,凭证断号调用接口同步凭证行数据,com.ibm.gbs.efinance.business.eip.service.control.TVoucherSpilit2Job,否,否,数据同步,多次,每天1、2、3、4、5点30分同步数据,
updateNameForImageJobDetail\#updateNameForImageJobTrigger,更新影像任务池环节名称定时,com.ibm.gbs.efinance.business.eip.service.control.updateNameForImageJob,否,否,报账功能,多次,每5分执行一次啊,
startConfirmPayListJobDetail\#startConfirmPayListTrigger,付款计划自动推送确认,,,,,,,
valiInvoiceLibraryjobDetail\#valiInvoiceLibraryTrigger,,,,,,,,
ocrUploadjobDetail\#ocrUploadTrigger,,,,,,,,
ocrClaimValidatejobDetail\#ocrClaimValidateTrigger,,,,,,,,
quyInvItemInfoDetail\#quyInvItemInfoTrigger,,,,,,,,
quyArReMethodDetail\#quyArReMethodTrigger,,,,,,,,
quyArBatchSourceDetail\#quyArBatchSourceTrigger,,,,,,,,
quyArCustSiteInfoDetail\#quyArCustSiteInfoTrigger,,,,,,,,
quyArReMethodDetail\#quyArReMethodTrigger,,,,,,,,
arQuyreceiptRemarkDetail\#arQuyreceiptRemarkTrigger,,,,,,,,
arQuyreceiptActivityDetail\#arQuyreceiptActivityTrigger,,,,,,,,
quyArAmtRemainDetail\#quyArAmtRemainTrigger,,,,,,,,
updateFlowExpireDetail\#updateFlowExpireTrigger,,,,,,,,
syncAccountTransFlowDetail\#syncAccountTransFlowTrigger,,,,,,,,
importT008AndT015InvoiceDetail\#importT008AndT015InvoiceTrigger,,,,,,,,
quyInvUomCodeDetail\#quyInvUomCodeTrigger,,,,,,,,
quyRaCustTrxTypeDetail\#quyRaCustTrxTypeTrigger,,,,,,,,
quyInvItemInfoDetail\#quyInvItemInfoTrigger,,,,,,,,
claimGenerateRulesServiceDetail\#claimGenerateRulesServiceTrigger,,,,,,,,
claimNotEndJobDetail\#claimNotEndTrigger,,,,,,,,
createT014ClaimJobDetail\#createT014ClaimJobTrigger,,,,,,,,
getNeedAlertJobDetail\#getNeedAlertJobTrigger,,,,,,,,
CDHPSendEmailJobDetail\#CDHPSendEmailJobTrigger,,,,,,,,
updateFlowExpireDetail\#updateFlowExpireTrigger,,,,,,,,
claimNotEndJobDetail\#claimNotEndTrigger,,,,,,,,
voucherReportManagerDetail\#voucherReportManagerTrigger,,,,,,,,
compareFlowDataDetail\#compareFlowDataTrigger,,,,,,,,
quyArAmtMarginDetail\#quyArAmtMarginTrigger,,,,,,,,
saveOcrProcessStatusDetail\#saveOcrProcessStatusTrigger,,,,,,,,
verificationSendbackClaimDetail\#verificationSendbackClaimTrigger,,,,,,,,
ocrUploadCommonjobDetail\#ocrUploadCommonTrigger,,,,,,,,
ocrVerificationCommonjobDetail\#ocrVerificationCommonTrigger,,,,,,,,
ocrUploadSwitchOffjobDetail\#ocrUploadSwitchOffTrigger,,,,,,,,
ocrVerificationSwitchOffjobDetail\#ocrVerificationSwitchOffTrigger,,,,,,,,
importT050JobDetail\#importT050Trigger,,,,,,,,
importT001ToPublicJobDetail\#importT001ToPublicTrigger,,,,,,,,
clearT034MilkDataPoolJobDetail\#clearT034MilkDataPoolTrigger,,,,,,,,
travelEmployeeTurnoverDraftDetail\#travelEmployeeTurnoverDraftTrigger,,,,,,,,
hrdepRoleUpdateDetail\#hrdepRoleUpdateTrigger,,,,,,,,
travelDeleteDraftDetail\#travelDeleteDraftTrigger,,,,,,,,
autoSignDetail\#autoSignTrigger,,,,,,,,
importLedgerPaymentJobDetail\#importLedgerPaymentTrigger,,,,,,,,
searchExportDetail\#searchExportTrigger,,,,,,,,
autoProcessT020ServiceDetail\#autoProcessT020ServiceTrigger,,,,,,,,
importLedgerTRPaymentJobDetail\#importLedgerTRPaymentTrigger,,,,,,,,
fundAllocationSignJobDetail\#fundAllocationSignTrigger,,,,,,,,
paylistUpdateDetail\#paylistUpdateTrigger,,,,,,,,
assetCostDetail\#assetCostTrigger,,,,,,,,
assetDistributDetail\#assetDistributTrigger,,,,,,,,
assetDeprnDetail\#assetDeprnTrigger,,,,,,,,
assetPhysicalDetail\#assetPhysicalTrigger,,,,,,,,
overdueTurnBackClaimJobDetail\#overdueTurnBackClaimJobTrigger,,,,,,,,
syncAcptBillDetail3\#SyncAcptBillTrigger3,,,,,,,,
syncAcptBillDetail\#SyncAcptBillTrigger1,,,,,,,,
syncAcptBillDetail2\#SyncAcptBillTrigger2,,,,,,,,
syncAcptBillDetail4\#SyncAcptBillTrigger4,,,,,,,,
syncAcptBillDetail5\#SyncAcptBillTrigger5,,,,,,,,
t057PaylistConfirmDetail\#t057PaylistConfirmTrigger,,,,,,,,
currencyExchangerateDetail\#currencyExchangerateTrigger,,,,,,,,
importFoerignCurrencyPaymentJobDetail\#importFoerignCurrencyPaymentTrigger,,,,,,,,
claimTravelFeePushOADetail\#claimTravelFeePushOATrigger,,,,,,,,
paymentFailUpdateVendorDetail\#paymentFailUpdateVendorTrigger,,,,,,,,
paymentFailSendMailDetail\#paymentFailSendMailTrigger,,,,,,,,
payFailAutoCreateClaimDetail\#payFailAutoCreateClaimTrigger,,,,,,,,
abmAutoSignForJob\#abmAutoSignForJobTrigger,,,,,,,,
abmAutoReconciliationJob\#abmAutoReconciliationTrigger,,,,,,,,
assetCategoriDetail\#assetCategoriTrigger,,,,,,,,
cleanImportTimeoutJob\#cleanImportTimeoutJobTrigger,,,,,,,,
automationProcessMonitorJob\#automationProcessMonitorJobTrigger,,,,,,,,
syncBwInvoiceStatusForHisJobDetail\#syncBwInvoiceStatusForHisTrigger,,,,,,,,
automationProcessMonitorJob\#automationProcessMonitorJobTrigger,,,,,,,,
createT033T040ClaimJobDetail\#createT033T040ClaimJobTrigger,,,,,,,,
autoSign4T015T016Detail\#autoSign4T015T016Trigger,,,,,,,,
autoSuppleRoleAuthDetail\#autoSuppleRoleAuthTrigger,,,,,,,,
fsscGroupinfoSendEhrDetail\#fsscGroupinfoSendEhrTrigger,,,,,,,,
updateSysTaskDetail\#updateSysTaskTrigger,,,,,,,,
syncTRAccountBalanceDetail\#syncTRAccountBalanceTrigger,,,,,,,,
changeUserStatus4EndValidDateDetail\#changeUserStatus4EndValidDateTrigger,,,,,,,,
autoGenTaxTabDetail\#autoGenTaxTabTrigger,,,,,,,,
resetClaimGenTaxStatusDetail\#resetClaimGenTaxStatusTrigger,,,,,,,,
autoProcessT001ServiceDetail\#autoProcessT001ServiceTrigger,,,,,,,,
autoProcessT001TaxImageServiceDetail\#autoProcessT001TaxImageServiceTrigger,,,,,,,,
sendEmail4ClaimNosDetail\#sendEmail4ClaimNosTrigger,,,,,,,,
syncBwInvoiceStatusForHisJobDetail\#syncBwInvoiceStatusForHisTrigger,,,,,,,,
allInvoiceAuthenticationDetail\#allInvoiceAuthenticationTrigger,,,,,,,,
allInvoiceAuthenticationResultDetail\#allInvoiceAuthenticationResultTrigger,,,,,,,,
cancelInvoiceAuthenticationResultDetail\#cancelInvoiceAuthenticationResultTrigger,,,,,,,,
executeInsertDaidi2JinXClaimsJobDetail\#executeInsertDaidi2JinXClaimsJobTrigger,,,,,,,,
itsmQaJob\#itsmQaJobTrigger,,,,,,,,
fullProcessMonitoringOfFundsMongoJob\#fullProcessMonitoringOfFundsMongoJobTrigger,,,,,,,,
autoGenOcrRecogReportServiceDetail\#autoGenOcrRecogReportServiceTrigger,,,,,,,,
claimProjectFeePushOADetail\#claimProjectFeePushOATrigger,,,,,,,,
fssc2TaxClaimDataServiceDetail\#fssc2TaxClaimDataServiceTrigger,,,,,,,,
fssc2TaxInvoiceDataServiceDetail\#fssc2TaxInvoiceDataServiceTrigger,,,,,,,,
claimDlerDataPushDetail\#claimDlerDataPushTrigger,,,,,,,,
updateUserGroupIdErrDetail\#updateUserGroupIdErrTrigger,,,,,,,,
updateDelayInvoiceImportServiceDetail\#updateDelayInvoiceImportServiceTrigger,,,,,,,,
leaseContractTerminateJobDetail\#leaseContractTerminateTrigger,,,,,,,,
createT059InterestClaimJobDetail\#createT059InterestClaimTrigger,,,,,,,,
insertT059InterestJobDetail\#insertT059InterestTrigger,,,,,,,,
claimProjectFeeRealPushOADetail\#claimProjectFeeRealPushOATrigger,,,,,,,,
autoProcessBizAccountActivityServiceJob\#autoProcessBizAccountActivityServiceTrigger,,,,,,,,
ledgerPayListEmailNotifactionServiceDetail\#ledgerPayListEmailNotifactionServiceTrigger,,,,,,,,
executeHandleTCxinvoiceQxAuthenticationDetail\#executeHandleTCxinvoiceQxAuthenticationTrigger,,,,,,,,
executeGetHandlingTCxinvoiceQxAuthenticationResultDetail\#executeGetHandlingTCxinvoiceQxAuthenticationResultTrigger,,,,,,,,
executeSendEmailOfOvertimeUnsettledDetail\#executeSendEmailOfOvertimeUnsettledTrigger,,,,,,,,
sendFactoringDetailsFinshStatusServiceDetail\#sendFactoringDetailsFinshStatusServiceTrigger,,,,,,,,
synErpFactoringDetailsServiceDetail\#synErpFactoringDetailsServiceTrigger,,,,,,,,
executeCreateLeaseExpirationOwnershipClaimDetail\#executeCreateLeaseExpirationOwnershipClaimTrigger,,,,,,,,
write2CollectionPool4T064ServiceDetail#write2CollectionPool4T064ServiceTrigger,,,,,,,,
synFundsTransferClaimStatusServiceDetail#synFundsTransferClaimStatusServiceTrigger,,,,,,,,
executeBaoLiCreate023ClaimJob#executeBaoLiCreate023ClaimJobTrigger,,,,,,,,
executeSendEarlywarningBaoliClaimJob#executeSendEarlywarningBaoliClaimJobTrigger,,,,,,,,
executeSendgBaoli023claimRemindJob#executeSendgBaoli023claimRemindJobTrigger,,,,,,,,
transYRData2YiliDetail#transYRData2YiliTrigger,,,,,,,,
sendEmailCommonServiceDetail\#sendEmailCommonServiceTrigger,,,,,,,,
sendTRPubliceAppoveDetail\#sendTRPubliceAppoveTrigger,,,,,,,,
sendTRPrivateAppoveDetail\#sendTRPrivateAppoveTrigger,,,,,,,,
refreshItem2IdServiceDetail\#refreshItem2IdServiceTrigger,,,,,,,,
autoDelOvertimeDraftServiceDetail\#autoDelOvertimeDraftServiceTrigger,,,,,,,,
executeAamAutoArchiveCheckPoolJob\#executeAamAutoArchiveCheckPoolTrigger,,,,,,,,
createV2AutoClaimDetail\#createV2AutoClaimTrigger,,,,,,,,
bwAsyncInvoiceLibjobDetail\#bwAsyncInvoiceLibTrigger,,,,,,,,
autoFundReceiptQueryQarzJobDetail\#autoFundReceiptQueryQarzJobTrigger,,,,,,,,
autoFundReceiptDownQarzJobDetail\#autoFundReceiptDownQarzJobTrigger,,,,,,,,
autoFundSycCmBcRecseqQarzJobDetail\#autoFundSycCmBcRecseqQarzJobTrigger,,,,,,,,
t044AndT051AutoSendProcessServiceJob\#t044AndT051AutoSendProcessServiceJobTrigger,,,,,,,,
importLedgerCert4BankReceivedDetail\#importLedgerCert4BankReceivedTrigger,,,,,,,,
getErpSecurityVerificationRulesJob\#getErpSecurityVerificationRulesJobTrigger,,,,,,,,
getErpSecurityVerificationAssignRespJob\#getErpSecurityVerificationAssignRespJobTrigger,,,,,,,,
reDistinguishRequestJob\#reDistinguishRequestTrigger,,,,,,,,
autoProcessT019ActivityServiceJob\#autoProcessT019ActivityServiceTrigger,,,,,,,,
travelPlatformDailyVehicleClaimTimeOutSendEmailJob\#travelPlatformDailyVehicleClaimTimeOutSendEmailJobTrigger,,,,,,,,
travelPlatformDailyVehicleT008CallBackCxstatusJob\#travelPlatformDailyVehicleT008CallBackCxstatusJobTrigger,,,,,,,,
autoGenT002ForCarServiceDetail\#autoGenT002ForCarServiceTrigger,,,,,,,,
autoCreateT051Detail\#autoCreateT051Trigger,,,,,,,,
autoProcessT051Detail\#autoProcessT051Trigger,,,,,,,,
syncErpGLRTBDServiceDetail\#syncErpGLRTBDServiceTrigger,,,,,,,,
process071JobDetail\#process071Trigger,,,,,,,,
sendTRHRAppoveDetail\#sendTRHRAppoveTrigger,,,,,,,,
autoImpOcrInvoiceLibServiceDetail\#autoImpOcrInvoiceLibServiceTrigger,,,,,,,,
sendEmail4OdmInfoDetail\#sendEmail4OdmInfoTrigger,,,,,,,,
sendEmail4ClaimNosDetail\#sendEmail4ClaimNosTrigger,,,,,,,,
importApDelayJobDetail\#importApDelayTrigger,,,,,,,,
importGLDelayJobDetail\#importGLDelayTrigger,,,,,,,,
importApPoDelayJobDetail\#importApPoDelayTrigger,,,,,,,,
ImportRaCertificateGlAutoDelayJobDetail\#ImportRaCertificateGlAutoDelayTrigger,,,,,,,,
ImportArAmtRemainGlAutoDelayJobDetail\#ImportArAmtRemainGlAutoDelayTrigger,,,,,,,,
ImportReturnArAmtRemainGlAutoDelayJobDetail\#ImportReturnArAmtRemainGlAutoDelayTrigger,,,,,,,,
ImportArCertificateGlAutoDelayJobDetail\#ImportArCertificateGlAutoDelayTrigger,,,,,,,,
importProcessEndNotErpImportDelayJobDetail\#importProcessEndNotErpImportDelayTrigger,,,,,,,,
